itemName,PdefBonus,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,MdefDark,SdefPois,SdefBled,SdefPetr,SdefCrse,Special,Poise,Weight,Durability
Manikin Gauntlets,E,24,25,23,23,12,11,14,15,14,20,6,0,None,0,1.2,65
Manikin Gauntlets +3,E,31,32,29,29,15,14,18,19,18,25,8,0,None,0,1.2,65
Mastodon Gauntlets,C,98,92,105,98,13,14,9,13,16,18,0,0,Req Str16,18,8.8,90
Monastery Gloves,E,32,34,30,30,29,21,18,21,36,23,20,24,None,0,0.9,55
Moon Butterfly Cuffs,?,27,30,26,26,14,9,14,12,26,11,15,16,None,0,0.8,35
Old Ironclad Gauntlets,C,84,78,90,84,12,13,10,12,7,21,0,0,Req Str 14,18,9.4,45
Old Knight Gauntlets,C,91,85,94,91,10,10,8,10,8,17,0,,None,16,8.2,20
Pate's Gauntlets,D,38,40,38,38,13,8,16,13,14,12,0,0,None,0,3.5,70
Peasant Gauntlets,E,12,13,11,11,5,6,7,5,9,7,0,0,None,0,1.8,45
Penal HandCuffs,D,55,57,50,21,35,35,19,25,11,9,22,29,Pyro +7.4%,0,4.8,55
Priestess Gloves,E,17,18,17,17,11,10,15,12,7,7,8,8,None,0,0.9,50
Prisoner's Gloves,Unknown,5,6,5,5,5,5,7,6,6,4,0,0,None,0,1.0,25
Rogue Gloves,E,29,28,29,29,9,11,10,12,11,10,0,0,None,0,1.8,55
Royal Soldier Gauntlets,C,32,31,34,33,10,10,7,10,9,10,0,0,None,6,3.8,70
Royal Swordsman Gauntlets,C,55,48,61,57,12,16,9,12,7,16,,,None,10,6.1,75
Ruin Gauntlets,C,82,75,89,84,19,21,13,19,11,26,34,0,None,7,6.2,105
Rusted Mastodon Gauntlets,C,77,71,82,77,10,11,7,10,13,15,0,0,None,13,7.8,40
Saint's Gloves,E,26,28,25,25,19,19,23,23,12,10,22,20,None,0,1.0,55
Shadow Gauntlets,Unknown,30,34,27,27,16,18,17,21,24,18,15,0,Req Dex16 Bleed Att,0,1.6,60
Smelter Demon Gauntlets,C,149,135,164,149,21,39,20,21,14,32,21,21,None,23,10.4,160
Steel Gauntlets,C,92,87,98,92,12,13,8,12,10,19,0,0,None,19,8.3,100
Steel Gauntlets +3,C,119,113,127,119,15,16,10,15,13,24,0,0,None,19,8.3,100
Steel Gauntlets +6,C,146,139,156,146,18,20,12,18,16,29,0,0,None,19,8.3,100
Syan's Gloves,C,52,46,55,52,10,13,6,10,6,17,,,None,9,5.2,85
Targray's Gauntlets,C,30,28,32,30,7,7,6,8,9,10,0,0,None,7,3.3,75
Tattered Cloth Gloves,E,29,31,29,29,16,21,14,16,26,9,0,6,None,0,1.6,55
Throne Defender Gauntlets,C,57,55,59,58,12,13,7,12,8,13,0,0,None,8,4.2,100
Throne Watcher Gauntlets,C,51,48,55,51,22,14,12,14,11,14,0,0,None,10,4.1,95
Traveleing Merchant Gloves,Unknown,37,39,35,35,10,11,12,10,13,14,0,0,None,0,3.8,60
Tseldora Gauntlets,E,15,16,14,14,7,7,9,6,7,7,0,0,Increase Souls +10%,0,2.0,40
Varangian Gauntlets,D,18,19,17,17,6,4,7,6,7,6,0,0,None,0,1.8,55
Velstadt's Gauntlets,C,78,70,82,80,10,10,5,23,7,20,10,14,None,14,5.0,140
Vengarl's Gauntlets,Unknown,77,73,82,77,12,15,11,12,11,14,0,0,None,8,5.3,85
Wanderer Manchettes,E,35,33,35,35,12,15,17,12,13,21,0,0,None,0,2.1,50
White Priest Gloves,E,18,19,18,18,11,11,14,12,8,7,7,7,None,0,1.1,50
