itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Black Knight Helm,21,19.9,23.7,20.6,11,18,6,8,5
Black Knight Helm +1,22.7,21.5,25.6,22.2,11.9,19.4,6.5,8,5
Black Knight Helm +2,25,23.7,28.2,24.5,13.1,21.4,7.1,8,5
Black Knight Helm +3,27.1,25.7,30.6,26.5,14.2,23.2,7.7,8,5
Black Knight Helm +4,29.2,27.7,33,28.6,15.3,25,8.3,8,5
Black Knight Helm +5,32.5,30.9,36.8,31.9,17,27.9,9.3,8,5
Black Sorcerer Hat,5,5.1,5.5,5,11,8,8,0,0.7
Black Sorcerer Hat +1,5.5,5.7,6,5.5,12.1,8.8,8.8,0,0.7
Black Sorcerer Hat +10,12.1,12.5,13.2,12.1,26.6,19.4,19.4,0,0.7
Black Sorcerer Hat +2,6,6.2,6.5,6,13.2,9.6,9.6,0,0.7
Black Sorcerer Hat +3,6.5,6.7,7.1,6.5,14.3,10.4,10.4,0,0.7
Black Sorcerer Hat +4,7.1,7.4,7.8,7.1,15.7,11.4,11.4,0,0.7
Black Sorcerer Hat +5,7.8,8,8.5,7.8,17.2,12.5,12.5,0,0.7
Black Sorcerer Hat +6,8.5,8.7,9.2,8.5,18.6,13.5,13.5,0,0.7
Black Sorcerer Hat +7,9.2,9.5,10.1,9.2,20.4,14.8,14.8,0,0.7
Black Sorcerer Hat +8,10.1,10.4,11,10.1,22.1,16.1,16.1,0,0.7
Black Sorcerer Hat +9,10.9,11.2,11.8,10.9,23.9,17.4,17.4,0,0.7
Brass Helm,22,21.1,24.9,22,12,11,11,8,5.1
Brass Helm +1,23.8,22.8,26.8,23.8,13,11.9,11.9,8,5.1
Brass Helm +2,26.2,25.1,29.6,26.2,14.3,13.1,13.1,8,5.1
Brass Helm +3,28.4,27.2,32.1,28.4,15.5,14.2,14.2,8,5.1
Brass Helm +4,30.6,29.4,34.6,30.6,16.7,15.3,15.3,8,5.1
Brass Helm +5,34.1,32.7,38.5,34.1,18.6,17,17,8,5.1
Brigand Hood,9,9.9,9,8.1,8,5,6,0,1.2
Brigand Hood +1,9.9,10.9,9.9,8.9,8.8,5.5,6.6,0,1.2
Brigand Hood +10,21.8,24,21.8,19.6,19.4,12.1,14.5,0,1.2
Brigand Hood +2,10.8,11.9,10.8,9.7,9.6,6,7.2,0,1.2
Brigand Hood +3,11.7,12.9,11.7,10.5,10.4,6.5,7.8,0,1.2
Brigand Hood +4,12.9,14.2,12.9,11.6,11.4,7.1,8.6,0,1.2
Brigand Hood +5,14,15.4,14,12.6,12.5,7.8,9.4,0,1.2
Brigand Hood +6,15.2,16.7,15.2,13.7,13.5,8.5,10.1,0,1.2
Brigand Hood +7,16.6,18.3,16.6,15,14.8,9.2,11.1,0,1.2
Brigand Hood +8,18.1,19.9,18.1,16.3,16.1,10.1,12.1,0,1.2
Brigand Hood +9,19.5,21.5,19.5,17.6,17.4,10.9,13,0,1.2
Catarina Helm,22,21.8,25.3,22,12,13,7,8,4.5
Catarina Helm +1,23.8,23.5,27.3,23.8,13,14,7.6,8,4.5
Catarina Helm +2,26.2,25.9,30.1,26.2,14.3,15.5,8.3,8,4.5
Catarina Helm +3,28.4,28.1,32.6,28.4,15.5,16.8,9,8,4.5
Catarina Helm +4,30.6,30.3,35.2,30.6,16.7,18.1,9.7,8,4.5
Catarina Helm +5,34.1,33.8,39.2,34.1,18.6,20.2,10.8,8,4.5
Chain Helm +1,13.2,13.2,15.8,12.8,11,8.8,3.3,5,3
Chain Helm +10,29,29,34.8,28.2,24.2,19.4,7.3,5,3
Chain Helm +2,14.4,14.4,17.3,14,12,9.6,3.6,5,3
Chain Helm +3,15.6,15.6,18.7,15.1,13,10.4,3.9,5,3
Chain Helm +4,17.2,17.2,20.6,16.6,14.3,11.4,4.3,5,3
Chain Helm +5,18.7,18.7,22.5,18.2,15.6,12.5,4.7,5,3
Chain Helm +6,20.3,20.3,24.3,19.7,16.9,13.5,5.1,5,3
Chain Helm +7,22.2,22.2,26.6,21.5,18.5,14.8,5.6,5,3
Chain Helm +8,24.1,24.1,28.9,23.4,20.1,16.1,6,5,3
Chain Helm +9,26,26,31.2,25.3,21.7,17.4,6.5,5,3
Chain Helm,12,12,14.4,11.6,10,8,3,5,3
Cleric Helm,15,15,17.2,15,9,8,6,8,4.8
Cleric Helm +1,16.5,16.5,19,16.5,9.9,8.8,6.6,8,4.8
Cleric Helm +10,36.3,36.3,41.7,36.3,21.8,19.4,14.5,8,4.8
Cleric Helm +2,18,18,20.7,18,10.8,9.6,7.2,8,4.8
Cleric Helm +3,19.5,19.5,22.4,19.5,11.7,10.4,7.8,8,4.8
Cleric Helm +4,21.4,21.4,24.7,21.4,12.9,11.4,8.6,8,4.8
Cleric Helm +5,23.4,23.4,26.9,23.4,14,12.5,9.4,8,4.8
Cleric Helm +6,25.4,25.4,29.2,25.4,15.2,13.5,10.1,8,4.8
Cleric Helm +7,27.7,27.7,31.9,27.7,16.6,14.8,11.1,8,4.8
Cleric Helm +8,30.1,30.1,34.7,30.1,18.1,16.1,12.1,8,4.8
Cleric Helm +9,32.6,32.6,37.4,32.6,19.5,17.4,13,8,4.8
Crown of Dusk,5,5,5,5,11,2,6,0,0.4
Crown of the Dark Sun,12,12,12,12,12,6,6,0,3
Crown of the Great Lord,16,17.3,18.4,14.7,16,21,21,0,3
Crystalline Helm,11,9,13,11,8,6,2,6,4.2
Dark Mask,18,18,19.8,16.9,12,12,10,6,3.8
Dark Mask +1,19.4,19.4,21.4,18.3,13,13,10.8,6,3.8
Dark Mask +2,21.4,21.4,23.6,20.1,14.3,14.3,11.9,6,3.8
Dark Mask +3,23.2,23.2,25.5,21.8,15.5,15.5,12.9,6,3.8
Dark Mask +4,25,25,27.5,23.5,16.7,15.7,13.9,6,3.8
Dark Mask +5,27.9,27.9,30.7,26.2,18.6,18.6,15.5,6,3.8
Dingy Hood,6,7.5,6,6,8,5,6,0,0.8
Dingy Hood +1,6.6,8.2,6.6,6.6,8.8,5.5,6.6,0,0.8
Dingy Hood +10,14.5,18.2,14.5,14.5,19.4,12.1,14.5,0,0.8
Dingy Hood +2,7.2,9,7.2,7.2,9.6,6,7.2,0,0.8
Dingy Hood +3,7.8,9.7,7.8,7.8,10.4,6.5,7.8,0,0.8
Dingy Hood +4,8.6,10.7,8.6,8.6,11.4,7.1,8.6,0,0.8
Dingy Hood +5,9.4,11.7,9.4,9.4,12.5,7.8,9.4,0,0.8
Dingy Hood +6,10.1,12.7,10.1,10.1,13.5,8.5,10.1,0,0.8
Dingy Hood +7,11.1,13.9,11.1,11.1,14.8,9.2,11.1,0,0.8
Dingy Hood +8,12.1,15.1,12.1,12.1,16.1,10.1,12.1,0,0.8
Dingy Hood +9,13,16.3,13,13,17.4,10.9,13,0,0.8
Eastern Helm,17,16.1,21.1,16.5,6,12,7,8,4.7
Eastern Helm +1,18.4,17.4,22.8,17.8,6.5,13,7.6,8,4.7
Eastern Helm +2,20.2,19.2,25.1,19.6,7.1,14.3,8.3,8,4.7
Eastern Helm +3,21.9,20.8,27.2,21.3,7.7,15.5,9,8,4.7
Eastern Helm +4,23.6,22.4,29.3,22.9,8.3,16.7,9.7,8,4.7
Eastern Helm +5,26.3,25,32.7,25.6,9.3,18.6,10.8,8,4.7
Elite Knight Helm,15,14.5,17.4,15,7,8,6,8,4.5
Elite Knight Helm +1,16.5,16,19.1,16.5,7.7,8.8,6.6,8,4.5
Elite Knight Helm +10,36.3,35.2,42.1,36.3,16.9,19.4,14.5,8,4.5
Elite Knight Helm +2,18,17.5,20.9,18,8.4,9.6,7.2,8,4.5
Elite Knight Helm +3,19.5,18.9,22.6,19.5,9.1,10.4,7.8,8,4.5
Elite Knight Helm +4,21.4,20.8,24.9,21.4,10,11.4,8.6,8,4.5
Elite Knight Helm +5,23.4,22.7,27.1,23.4,10.9,12.5,9.4,8,4.5
Elite Knight Helm +6,25.4,24.6,29.4,25.4,11.8,13.5,10.1,8,4.5
Elite Knight Helm +7,27.7,26.9,32.2,27.7,12.9,14.8,11.1,8,4.5
Elite Knight Helm +8,30.1,29.2,35,30.1,14.1,16.1,12.1,8,4.5
Elite Knight Helm +9,32.6,31.6,37.8,32.6,15.2,17.4,13,8,4.5
Fang Boar Helm,26,13.4,31.2,26,5,4,4,12,8
Fang Boar Helm +1,28.1,25.3,33.7,28.1,5.4,4.3,4.3,12,8
Fang Boar Helm +2,30.9,27.8,37.1,30.9,6,4.8,4.8,12,8
Fang Boar Helm +3,33.5,30.2,40.2,33.5,6.4,5.2,5.2,12,8
Fang Boar Helm +4,36.1,32.5,43.4,36.1,6.9,5.6,5.6,12,8
Fang Boar Helm +5,40.3,36.3,48.4,40.3,7.8,6.2,6.2,12,8
Gargoyle Helm +1,16.2,13.3,20.6,14.7,16.2,16.2,16.2,8,3.5
Gargoyle Helm +2,17.9,14.6,22.7,16.2,17.9,17.9,17.9,8,3.5
Gargoyle Helm +3,19.3,15.9,24.6,17.6,19.3,19.3,19.3,8,3.5
Gargoyle Helm +4,20.9,17.1,26.5,19,20.9,20.9,20.9,8,3.5
Gargoyle Helm +5,23.3,19.1,29.5,21.2,23.3,23.3,23.3,8,3.5
Gargoyle Helm,15,12.3,19,13.6,15,15,15,8,3.5
Giant Helm +1,29.2,26.8,33,29.2,14,20.5,14,14,6.3
Giant Helm +2,32.1,29.6,36.3,32.1,15.5,22.6,15.5,14,6.3
Giant Helm +3,34.8,32,39.4,34.8,16.8,24.5,16.8,14,6.3
Giant Helm +4,37.5,34.5,42.4,37.5,18.1,26.4,18.1,14,6.3
Giant Helm +5,41.9,38.5,47.3,41.9,20.2,29.5,20.2,14,6.3
Giant Helm,27,24.8,30.5,27,13,19,13,14,6.3
Gold-Hemmed Black Hood,11,11.8,11,11,15,22,8,0,1.4
Golem Helm,35,32.2,40.9,35,17,16,6,13,6.3
Havel's Helm,36,30.6,41.4,36,22,22,18,18,7.5
Helm of Favor,18,17.1,20.9,18,10,11,7,8,4.5
Helm of Favor +1,19.4,18.5,22.6,19.4,10.8,11.9,7.6,8,4.5
Helm of Favor +2,21.4,20.3,24.8,21.4,11.9,13.1,8.3,8,4.5
Helm of Favor +3,23.2,22.1,26.9,23.2,12.9,14.2,9,8,4.5
Helm of Favor +4,25,23.8,29,25,13.9,15.3,9.7,8,4.5
Helm of Favor +5,27.9,26.5,32.4,27.9,15.5,17,10.8,8,4.5
Helm of the Wise,18,17.1,20.7,18,12,13,10,8,5.1
Helm of Thorns,17,16.1,18.5,17,10,12,8,6,4.1
Helm of Thorns +1,18.4,17.4,20,18.4,10.8,13,8.6,6,4.1
Helm of Thorns +2,20.2,19.2,22.1,20.2,11.9,14.3,9.5,6,4.1
Helm of Thorns +3,21.9,20.8,23.9,21.9,12.9,15.5,10.3,6,4.1
Helm of Thorns +4,23.6,22.4,25.8,23.6,13.9,16.7,11.1,6,4.1
Helm of Thorns +5,26.3,25,28.7,26.3,15.5,18.6,12.4,6,4.1
Hollow Soldier Helm,10,10,11.1,8.8,6,6,4,5,3
Hollow Soldier Helm +1,11,11,12.2,9.7,6.6,6.6,4.4,5,3
Hollow Soldier Helm +10,24.2,24.2,26.9,21.3,14.5,14.5,9.7,5,3
Hollow Soldier Helm +2,12,12,13.3,10.6,7.2,7.2,4.8,5,3
Hollow Soldier Helm +3,13,13,14.4,11.4,7.8,7.8,5.2,5,3
Hollow Soldier Helm +4,14.3,14.3,15.9,12.6,8.6,8.6,5.7,5,3
Hollow Soldier Helm +5,15.6,15.6,17.3,13.7,9.4,9.4,6.2,5,3
Hollow Soldier Helm +6,16.9,16.9,18.8,14.9,10.1,10.1,6.8,5,3
Hollow Soldier Helm +7,18.5,18.5,20.5,16.3,11.1,11.1,7.4,5,3
Hollow Soldier Helm +8,20.1,20.1,22.3,17.7,12.1,12.1,8,5,3
Hollow Soldier Helm +9,21.7,21.7,24.1,19.1,13,13,8.7,5,3
Hollow Thief's Hood,8,8.7,8,8.3,8,5,7,0,1.1
Hollow Thief's Hood +1,8.8,9.6,8.8,9.2,8.8,5.5,7.7,0,1.1
Hollow Thief's Hood +10,19.4,21.1,19.4,20.1,19.4,12.1,16.9,0,1.1
Hollow Thief's Hood +2,9.6,10.5,9.6,10,9.6,6,8.4,0,1.1
Hollow Thief's Hood +3,10.4,11.3,10.4,10.8,10.4,6.5,9.1,0,1.1
Hollow Thief's Hood +4,11.4,12.5,11.4,11.9,11.4,7.1,10,0,1.1
Hollow Thief's Hood +5,12.5,13.6,12.5,13,12.5,7.8,10.9,0,1.1
Hollow Thief's Hood +6,13.5,14.7,13.5,14.1,13.5,8.5,11.8,0,1.1
Hollow Thief's Hood +7,14.8,16.1,14.8,15.4,14.8,9.2,12.9,0,1.1
Hollow Thief's Hood +8,16.1,17.5,16.1,16.7,16.1,10.1,14.1,0,1.1
Hollow Thief's Hood +9,17.4,18.9,17.4,18.1,17.4,10.9,15.2,0,1.1
Hollow Warrior Helm,10,9.7,10.3,9.5,6,5,6,3,2.6
Hollow Warrior Helm +1,11,10.7,11.3,10.4,6.6,5.5,6.6,3,2.6
Hollow Warrior Helm +10,24.2,23.5,24.9,23,14.5,12.1,14.5,3,2.6
Hollow Warrior Helm +2,12,11.6,12.4,11.4,7.2,6,7.2,3,2.6
Hollow Warrior Helm +3,13,12.6,13.4,12.3,7.8,6.5,7.8,3,2.6
Hollow Warrior Helm +4,14.3,13.9,14.7,13.6,8.6,7.1,8.6,3,2.6
Hollow Warrior Helm +5,15.6,15.1,16.1,14.8,9.4,7.8,9.4,3,2.6
Hollow Warrior Helm +6,16.9,16.4,17.4,16.1,10.1,8.5,10.1,3,2.6
Hollow Warrior Helm +7,18.5,17.9,19.1,17.6,11.1,9.2,11.1,3,2.6
Hollow Warrior Helm +8,20.1,19.5,20.7,19.1,12.1,10.1,12.1,3,2.6
Hollow Warrior Helm +9,21.7,21,22.4,20.6,13,10.9,13,3,2.6
Iron Helm +1,15.4,15.4,15.4,15.1,11,11,9.9,8,4.5
Iron Helm +10,33.9,33.9,33.9,33.2,24.2,24.2,21.8,8,4.5
Iron Helm +2,16.8,16.8,16.8,16.5,12,12,10.8,8,4.5
Iron Helm +3,18.2,18.2,18.2,17.8,13,13,11.7,8,4.5
Iron Helm +4,20,20,20,19.6,14.3,14.3,12.9,8,4.5
Iron Helm +5,21.8,21.8,21.8,21.4,15.6,15.6,14,8,4.5
Iron Helm +6,23.7,23.7,23.7,23.2,16.9,16.9,15.2,8,4.5
Iron Helm +7,25.9,25.9,25.9,25.4,18.5,18.5,16.6,8,4.5
Iron Helm +8,28.1,28.1,28.1,27.6,20.1,20.1,18.1,8,4.5
Iron Helm +9,30.4,30.4,30.4,29.8,21.7,21.7,19.5,8,4.5
Iron Helm,14,14,14,13.7,10,10,9,8,4.5
Knight Helm +1,15.4,14.6,17.9,15.1,6.6,8.8,5.5,8,4.2
Knight Helm +10,33.9,32.2,39.3,33.2,14.5,19.4,12.1,8,4.2
Knight Helm +2,16.8,16,19.5,16.5,7.2,9.6,6,8,4.2
Knight Helm +3,18.2,17.3,21.1,17.8,7.8,10.4,6.5,8,4.2
Knight Helm +4,20,19,23.2,19.6,8.6,11.4,7.1,8,4.2
Knight Helm +5,21.8,20.7,25.3,21.4,9.4,12.5,7.8,8,4.2
Knight Helm +6,23.7,22.5,27.4,23.2,10.1,13.5,8.5,8,4.2
Knight Helm +7,25.9,24.6,30,25.4,11.1,14.8,9.2,8,4.2
Knight Helm +8,28.1,26.7,32.6,27.6,12.1,16.1,10.1,8,4.2
Knight Helm +9,30.4,28.9,35.2,29.8,13,17.4,10.9,8,4.2
Knight Helm,14,13.3,16.2,13.7,6,8,5,8,4.2
Maiden Hood +1,7.7,9,7.7,7.7,8.8,5.5,6.6,0,0.8
Maiden Hood +10,16.9,19.8,16.9,16.9,19.4,12.1,14.5,0,0.8
Maiden Hood +2,8.4,9.8,8.4,8.4,9.6,6,7.2,0,0.8
Maiden Hood +3,9.1,10.6,9.1,9.1,10.4,6.5,7.8,0,0.8
Maiden Hood +4,10,11.7,10,10,11.4,7.1,8.6,0,0.8
Maiden Hood +5,10.9,12.8,10.9,10.9,12.5,7.8,9.4,0,0.8
Maiden Hood +6,11.8,13.8,11.8,11.8,13.5,8.5,10.1,0,0.8
Maiden Hood +7,12.9,15.2,12.9,12.9,14.8,9.2,11.1,0,0.8
Maiden Hood +8,14.1,16.5,14.1,14.1,16.1,10.1,12.1,0,0.8
Maiden Hood +9,15.2,17.8,15.2,15.2,17.4,10.9,13,0,0.8
Maiden Hood,7,8.2,7,7,8,5,6,0,0.8
Mask of the Child,6,6,6,6,10,8,10,0,1.2
Mask of the Father,6,6,6,6,10,6,8,0,1.2
Mask of the Mother,6,6,6,6,12,6,8,0,1.2
Mask of the Sealer,12,13.2,12,12,12,7,9,0,1.2
Mask of the Sealer +1,13,14.3,13,13,13,7.6,9.7,0,1.2
Mask of the Sealer +2,14.3,15.7,14.3,14.3,14.3,8.3,10.7,0,1.2
Mask of the Sealer +3,15.5,17,15.5,15.5,15.5,9,11.6,0,1.2
Mask of the Sealer +4,16.7,18.3,16.7,16.7,16.7,9.7,12.5,0,1.2
Mask of the Sealer +5,18.6,20.5,18.6,18.6,18.6,10.8,14,0,1.2
Mask of Velka,12,13.1,12,12,12,10,7,0,2.5
Mask of Velka +1,13,14.1,13,13,13,10.8,7.6,0,2.5
Mask of Velka +2,14.3,15.6,14.3,14.3,14.3,11.9,8.3,0,2.5
Mask of Velka +3,15.5,16.9,15.5,15.5,15.5,12.9,9,0,2.5
Mask of Velka +4,16.7,18.2,16.7,16.7,16.7,13.9,9.7,0,2.5
Mask of Velka +5,18.6,20.3,18.6,18.6,18.6,15.5,10.8,0,2.5
Ornstein's Helm,32,30.4,36.2,32,16,22,18,9,5.5
Painting Guardian Hood,3,3.6,3,3,31,11,8,0,0.6
Painting Guardian Hood +1,3.2,3.9,3.2,3.2,33.5,11.9,8.6,0,0.6
Painting Guardian Hood +2,3.6,4.3,3.6,3.6,36.9,13.1,9.5,0,0.6
Painting Guardian Hood +3,3.9,4.6,3.9,3.9,40,14.2,10.3,0,0.6
Painting Guardian Hood +4,4.2,5,4.2,4.2,43.1,15.3,11.1,0,0.6
Painting Guardian Hood +5,4.6,5.6,4.6,4.6,48,17,12.4,0,0.6
Paladin Helm,22,20.9,25.3,22,12,13,7,8,5
Paladin Helm +1,23.8,22.6,27.3,23.8,13,14,7.6,8,5
Paladin Helm +2,26.2,24.9,30.1,26.2,14.3,15.5,8.3,8,5
Paladin Helm +3,28.4,27,32.6,28.4,15.5,16.8,9,8,5
Paladin Helm +4,30.6,29.1,35.2,30.6,16.7,18.1,9.7,8,5
Paladin Helm +5,34.1,32.4,39.2,34.1,18.6,20.1,10.8,8,5
Pharis's Hat,7,7.4,7,7,5,7,6,0,1.2
Pharis's Hat +1,7.7,8.2,7.7,7.7,5.5,7.7,6.6,0,1.2
Pharis's Hat +10,16.9,18,16.9,16.9,12.1,16.9,14.5,0,1.2
Pharis's Hat +2,8.4,8.9,8.4,8.4,6,8.4,7.2,0,1.2
Pharis's Hat +3,9.1,9.6,9.1,9.1,6.5,9.1,7.8,0,1.2
Pharis's Hat +4,10,10.6,10,10,7.1,10,8.6,0,1.2
Pharis's Hat +5,10.9,11.6,10.9,10.9,7.8,10.9,9.4,0,1.2
Pharis's Hat +6,11.8,12.5,11.8,11.8,8.5,11.8,10.1,0,1.2
Pharis's Hat +7,12.9,13.7,12.9,12.9,9.2,12.9,11.1,0,1.2
Pharis's Hat +8,14.1,14.9,14.1,14.1,10.1,14.1,12.1,0,1.2
Pharis's Hat +9,15.2,16.1,15.2,15.2,10.9,15.2,13,0,1.2
Priest's Hat,8,9.4,8,8,9,5,7,0,1.2
Priest's Hat +1,8.8,10.4,8.8,8.8,9.9,5.5,7.7,0,1.2
Priest's Hat +10,19.4,22.8,19.4,19.4,21.8,12.1,16.9,0,1.2
Priest's Hat +2,9.6,11.3,9.6,9.6,10.8,6,8.4,0,1.2
Priest's Hat +3,10.4,12.3,10.4,10.4,11.7,6.5,9.1,0,1.2
Priest's Hat +4,11.4,13.5,11.4,11.4,12.9,7.1,10,0,1.2
Priest's Hat +5,12.5,14.7,12.5,12.5,14,7.8,10.9,0,1.2
Priest's Hat +6,13.5,16,13.5,13.5,15.2,8.5,11.8,0,1.2
Priest's Hat +7,14.8,17.5,14.8,14.8,16.6,9.2,12.9,0,1.2
Priest's Hat +8,16.1,19,16.1,16.1,18.1,10.1,14.1,0,1.2
Priest's Hat +9,17.4,20.5,17.4,17.4,19.5,10.9,15.2,0,1.2
Royal Helm +1,17.6,15.3,17.6,17.6,11,11,6.6,8,4.5
Royal Helm +10,38.7,33.7,38.7,38.7,24.2,24.2,14.5,8,4.5
Royal Helm +2,19.2,16.7,19.2,19.2,12,12,7.2,8,4.5
Royal Helm +3,20.8,18.1,20.8,20.8,13,13,7.8,8,4.5
Royal Helm +4,22.9,19.9,22.9,22.9,14.3,14.3,8.6,8,4.5
Royal Helm +5,25,21.7,25,25,15.6,15.6,9.4,8,4.5
Royal Helm +6,27,23.5,27,27,16.9,16.9,10.1,8,4.5
Royal Helm +7,29.6,25.8,29.6,29.6,18.5,18.5,11.1,8,4.5
Royal Helm +8,32.2,28,32.2,32.2,20.1,20.1,12.1,8,4.5
Royal Helm +9,34.7,30.2,34.7,34.7,21.7,21.7,13,8,4.5
Royal Helm,16,13.9,16,16,10,10,6,8,4.5
Sack +1,6.6,11,6.6,5.5,6.6,8.8,4.4,0,0.6
Sack +10,14.5,24.2,14.5,12.1,14.5,19.4,9.7,0,0.6
Sack +2,7.2,12,7.2,6,7.2,9.6,4.8,0,0.6
Sack +3,7.8,13,7.8,6.5,7.8,10.4,5.2,0,0.6
Sack +4,8.6,14.3,8.6,7.1,8.6,11.4,5.7,0,0.6
Sack +5,9.4,15.6,9.4,7.8,9.4,12.5,6.2,0,0.6
Sack +6,10.1,16.9,10.1,8.4,10.1,13.5,6.8,0,0.6
Sack +7,11.1,18.5,11.1,9.2,11.1,14.8,7.4,0,0.6
Sack +8,12.1,20.1,12.1,10,12.1,16.1,8,0,0.6
Sack +9,13,21.7,13,10.8,13,17.4,8.7,0,0.6
Sack,6,10,6,5,6,8,4,0,0.6
Shadow Mask,9,9.9,9,9,5,6,6,0,0.9
Shadow Mask +1,9.7,10.7,9.7,9.7,5.4,6.5,6.5,0,0.9
Shadow Mask +2,10.7,11.8,10.7,10.7,6,7.1,7.1,0,0.9
Shadow Mask +3,11.6,12.8,11.6,11.6,6.4,7.7,7.7,0,0.9
Shadow Mask +4,12.5,13.8,12.5,12.5,6.9,8.3,8.3,0,0.9
Shadow Mask +5,13.9,15.3,13.9,13.9,7.7,9.3,9.3,0,0.9
Silver Knight Helm,21,19.7,24.1,20.6,10,11,14,8,4.8
Silver Knight Helm +1,22.7,21.3,26.1,22.2,10.8,11.9,15.1,8,4.8
Silver Knight Helm +2,25,23.5,28.7,24.5,11.9,13.1,16.7,8,4.8
Silver Knight Helm +3,27.1,25.5,31.2,26.5,12.9,14.2,18.1,8,4.8
Silver Knight Helm +4,29.2,27.4,33.6,28.6,13.9,15.3,19.5,8,4.8
Silver Knight Helm +5,32.6,30.6,37.4,31.9,15.5,17.1,21.7,8,4.8
Six-Eyed Helm of the Channelers,20,19.2,22.8,20,18,17,13,5,3.9
Smough's Helm,40,34.8,46,40,19,26,21,14,6.8
Sorcerer Hat,8,8.6,8.3,8,10,5,6,0,0.9
Sorcerer Hat +1,8.8,9.5,9.2,8.8,11,5.5,6.6,0,0.9
Sorcerer Hat +10,19.4,20.9,20.1,19.4,24.2,12.1,14.5,0,0.9
Sorcerer Hat +2,9.6,10.4,10,9.6,12,6,7.2,0,0.9
Sorcerer Hat +3,10.4,11.2,10.8,10.4,13,6.5,7.8,0,0.9
Sorcerer Hat +4,11.4,12.4,11.9,11.4,14.3,7.1,8.6,0,0.9
Sorcerer Hat +5,12.5,13.5,13,12.5,15.6,7.8,9.4,0,0.9
Sorcerer Hat +6,13.5,14.6,14.1,13.5,16.9,8.5,10.1,0,0.9
Sorcerer Hat +7,14.8,16,15.4,14.8,18.5,9.2,11.1,0,0.9
Sorcerer Hat +8,16.1,17.4,16.7,16.1,20.1,10.1,12.1,0,0.9
Sorcerer Hat +9,17.4,18.7,18.1,17.4,21.7,10.9,13,0,0.9
Standard Helm +1,15.4,8.8,17.6,15.4,8.8,8.8,3.3,5,3.5
Standard Helm +10,33.9,19.3,38.6,33.9,19.4,19.4,7.3,5,3.5
Standard Helm +2,16.8,9.6,19.2,16.8,9.6,9.6,3.6,5,3.5
Standard Helm +3,18.2,10.4,20.7,18.2,10.4,10.4,3.9,5,3.5
Standard Helm +4,20,11.4,22.8,20,11.4,11.4,4.3,5,3.5
Standard Helm +5,21.8,12.4,24.9,21.8,12.5,12.5,4.7,5,3.5
Standard Helm +6,23.7,13.5,27,23.7,13.5,13.5,5.1,5,3.5
Standard Helm +7,25.9,14.8,29.5,25.9,14.8,14.8,5.6,5,3.5
Standard Helm +8,28.1,16,32.1,28.1,16.1,16.1,6,5,3.5
Standard Helm +9,30.4,17.3,34.6,30.4,17.4,17.4,6.5,5,3.5
Standard Helm,14,8,16,14,8,8,3,5,3.5
Steel Helm,16,15,18.4,16,8,8,5,9,5.4
Steel Helm +1,17.6,16.5,20.2,17.6,8.8,8.8,5.5,9,5.4
Steel Helm +10,38.7,36.4,44.5,38.7,19.4,19.4,12.1,9,5.4
Steel Helm +2,19.2,18,22.1,19.2,9.6,9.6,6,9,5.4
Steel Helm +3,20.8,19.6,23.9,20.8,10.4,10.4,6.5,9,5.4
Steel Helm +4,22.9,21.5,26.3,22.9,11.4,11.4,7.1,9,5.4
