itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Brigand Trousers +9,30.4,33.4,30.4,27.3,26,17.4,21.7,0,1.8
Catarina Leggings,34,33.7,39.1,34,18,21,12,13,6.9
Catarina Leggings +1,36.7,36.4,42.2,36.7,19.4,22.7,13,13,6.9
Catarina Leggings +2,40.5,40.1,46.5,40.5,21.4,25,14.3,13,6.9
Catarina Leggings +3,43.9,43.4,50.4,43.9,23.2,27.1,15.5,13,6.9
Catarina Leggings +4,47.3,46.8,54.3,47.3,25,29.2,16.7,13,6.9
Catarina Leggings +5,52.7,52.2,60.6,52.7,27.9,32.6,18.6,13,6.9
Chain Leggings,18,18,21.6,17.5,14,12,5,7,4.6
Chain Leggings +1,19.8,19.8,23.8,19.2,15.4,13.2,5.5,7,4.6
Chain Leggings +10,43.6,43.6,52.3,42.3,33.9,29,12.1,7,4.6
Chain Leggings +2,21.6,21.6,25.9,21,16.8,14.4,6,7,4.6
Chain Leggings +3,23.4,23.4,28.1,22.7,18.2,15.6,6.5,7,4.6
Chain Leggings +4,25.7,25.7,30.9,25,20,17.2,7.1,7,4.6
Chain Leggings +5,28.1,28.1,33.7,27.2,21.8,18.7,7.8,7,4.6
Chain Leggings +6,30.4,30.4,36.5,29.5,23.7,20.3,8.5,7,4.6
Chain Leggings +73,33.3,33.3,40,32.3,25.9,22.2,9.2,7,4.6
Chain Leggings +8,36.2,36.2,43.4,35.1,28.1,24.1,10.1,7,4.6
Chain Leggings +9,39.1,39.1,46.9,37.9,30.4,26,10.9,7,4.6
Cleric Leggings,24,24,27.6,24,13,12,9,12,7.4
Cleric Leggings +1,26.4,26.4,30.4,26.4,14.3,13.2,9.9,12,7.4
Cleric Leggings +10,58.1,58.1,66.8,58.1,31.5,29,21.8,12,7.4
Cleric Leggings +2,28.8,28.8,33.1,28.8,15.6,14.4,10.8,12,7.4
Cleric Leggings +3,31.2,31.2,35.9,31.2,16.9,15.6,11.7,12,7.4
Cleric Leggings +4,34.3,34.3,39.5,34.3,18.6,17.2,12.9,12,7.4
Cleric Leggings +5,37.4,37.4,43.1,37.4,20.3,18.7,14,12,7.4
Cleric Leggings +6,40.6,40.6,46.6,40.6,22,20.3,15.2,12,7.4
Cleric Leggings +7,44.4,44.4,51.1,44.4,24.1,22.2,16.6,12,7.4
Cleric Leggings +8,48.2,48.2,55.5,48.2,26.1,24.1,18.1,12,7.4
Cleric Leggings +9,52.1,52.1,59.9,52.1,28.2,26,19.5,12,7.4
Crimson Waistcloth,29,31.9,29,29,29,17,21,0,3.5
Crimson Waistcloth +1,31.3,34.5,31.3,31.3,31.3,18.4,22.7,0,3.5
Crimson Waistcloth +2,34.5,38,34.5,34.5,34.5,20.2,25,0,3.5
Crimson Waistcloth +3,37.4,41.2,37.4,37.4,37.4,21.9,27.1,0,3.5
Crimson Waistcloth +4,40.3,44.3,40.3,40.3,40.3,23.6,29.2,0,3.5
Crimson Waistcloth +5,44.9,49.4,44.9,44.9,44.9,26.4,32.6,0,3.5
Crystalline Leggings,17,15,20,17,12,9,4,9,6.4
Eastern Leggings,15,14.2,18.6,14.5,5,11,6,6,4
Eastern Leggings +1,16.2,15.4,20.1,15.7,5.4,11.9,6.5,6,4
Eastern Leggings +2,17.9,17,22.1,17.3,6,13.1,7.1,6,4
Eastern Leggings +3,19.3,18.4,24,18.8,6.4,14.2,7.7,6,4
Eastern Leggings +4,20.9,19.8,25.9,20.2,6.9,15.3,8.3,6,4
Eastern Leggings +5,23.2,22.1,28.8,22.6,7.7,17,9.3,6,4
Elite Knight Leggings,23,22.3,26.7,23,11,11,9,12,6.9
Elite Knight Leggings +1,25.3,24.5,29.3,25.3,12.1,12.1,9.9,12,6.9
Elite Knight Leggings +10,55.7,54,64.6,55.7,26.6,26.6,21.8,12,6.9
Elite Knight Leggings +2,27.6,26.8,32,27.6,13.2,13.2,10.8,12,6.9
Elite Knight Leggings +3,29.9,29,34.7,29.9,14.3,14.3,11.7,12,6.9
Elite Knight Leggings +4,32.9,31.9,38.2,32.9,15.7,15.7,12.9,12,6.9
Elite Knight Leggings +5,35.9,34.8,41.6,35.9,17.2,17.2,14,12,6.9
Elite Knight Leggings +6,38.9,37.7,45.1,38.9,18.6,18.6,15.2,12,6.9
Elite Knight Leggings +7,42.5,41.3,49.4,42.5,20.4,20.4,16.6,12,6.9
Elite Knight Leggings +8,46.2,44.8,53.6,46.2,22.1,22.1,18.1,12,6.9
Elite Knight Leggings +9,49.9,48.4,57.9,49.9,23.9,23.9,19.5,12,6.9
Giant Leggings,41,37.7,46.3,41,19,29,19,21,9.7
Giant Leggings +1,44.3,40.7,50,44.3,20.5,31.3,20.5,21,9.7
Giant Leggings +2,48.8,44.9,55.1,48.8,22.6,34.5,22.6,21,9.7
Giant Leggings +3,52.9,48.7,48.8,52.9,24.5,37.4,24.5,21,9.7
Giant Leggings +4,57,52.4,64.4,57,29.4,40.3,26.4,21,9.7
Giant Leggings +5,63.5,58.5,71.8,63.5,26.4,44.9,29.4,21,9.7
Gold-Hemmed Black Skirt,23,24.6,23,23,27,49,17,0,3
Golem Leggings,54,49.7,63.2,54,25,23,10,20,9.7
Hard Leather Boots,13,13.8,13,13,12,7,13,0,3.5
Hard Leather Boots +1,14.3,15.2,14.3,14.3,13.2,7.7,14.3,0,3.5
Hard Leather Boots +10,31.5,33.3,31.5,31.5,29,16.9,31.5,0,3.5
Hard Leather Boots +2,15.6,16.5,15.6,15.6,14.4,8.4,15.6,0,3.5
Hard Leather Boots +3,16.9,17.9,16.9,16.9,15.6,9.1,16.9,0,3.5
Hard Leather Boots +5,20.3,21.5,20.3,20.3,18.7,10.9,20.3,0,3.5
Hard Leather Boots +6,22,23.3,22,22,20.3,11.8,22,0,3.5
Hard Leather Boots +7,24.1,25.5,24.1,24.1,22.2,12.9,24.1,0,3.5
Hard Leather Boots +8,26.1,27.7,26.1,26.1,24.1,14.1,26.1,0,3.5
Hard Leather Boots +9,28.2,29.9,28.2,28.2,26,15.2,28.2,0,3.5
Hard Leather Boots+4,18.6,19.7,18.6,18.6,17.2,10,18.6,0,3.5
Havel's Leggings,54,45.9,62.1,54,32,32,29,28,11.5
Heavy Boots,12,13.3,12,12,14,18,10,0,1.6
Heavy Boots +1,13.2,14.7,13.2,13.2,15.4,19.8,11,0,1.6
Heavy Boots +10,29,32.2,29,29,33.9,43.6,24.2,0,1.6
Heavy Boots +2,14.4,16,14.4,14.4,16.8,21.6,12,0,1.6
Heavy Boots +3,15.6,17.3,15.6,15.6,18.2,23.4,13,0,1.6
Heavy Boots +4,17.2,19,17.2,17.2,20,25.7,14.3,0,1.6
Heavy Boots +5,18.7,20.8,18.7,18.7,21.8,28.1,15.6,0,1.6
Heavy Boots +6,20.3,22.5,20.3,20.3,23.7,30.4,16.9,0,1.6
Heavy Boots +7,22.2,24.6,22.2,22.2,25.9,33.3,18.5,0,1.6
Heavy Boots +8,24.1,26.8,24.1,24.1,28.1,36.2,20.1,0,1.6
Heavy Boots +9,26,28.9,26,26,30.4,39.1,21.7,0,1.6
Hollow Soldier Waistcloth,13,13,14.4,11.4,8,8,6,7,1.5
Hollow Soldier Waistcloth +1,14.3,14.3,15.9,12.6,8.8,8.8,6.6,7,1.5
Hollow Soldier Waistcloth +10,31.5,31.5,34.9,27.7,19.4,19.4,14.5,7,1.5
Hollow Soldier Waistcloth +2,15.6,15.6,17.3,13.7,9.6,9.6,7.2,7,1.5
Hollow Soldier Waistcloth +3,16.9,16.9,18.8,14.9,10.4,10.4,7.8,7,1.5
Hollow Soldier Waistcloth +4,18.6,18.6,20.6,16.4,11.4,11.4,8.6,7,1.5
Hollow Soldier Waistcloth +5,20.3,20.3,22.5,17.8,12.5,12.5,9.4,7,1.5
Hollow Soldier Waistcloth +6,22,22,24.4,19.3,13.5,13.5,10.1,7,1.5
Hollow Soldier Waistcloth +7,24.1,24.1,26.7,21.2,14.8,14.8,11.1,7,1.5
Hollow Soldier Waistcloth +8,26.1,26.1,29,23,16.1,16.1,12.1,7,1.5
Hollow Soldier Waistcloth +9,28.2,28.2,31.3,24.8,17.4,17.4,13,7,1.5
Hollow Thief's Tights,12,13.1,12,12.5,11,8,10,0,1.7
Hollow Thief's Tights +1,13.2,14.4,13.2,13.7,12.1,8.8,11,0,1.7
Hollow Thief's Tights +10,29,31.7,29,30.2,26.6,19.4,24.2,0,1.7
Hollow Thief's Tights +2,14.4,15.7,14.4,15,13.2,9.6,12,0,1.7
Hollow Thief's Tights +3,15.6,17,15.6,16.2,14.3,10.4,13,0,1.7
Hollow Thief's Tights +4,17.2,18.7,17.2,17.8,15.7,11.4,14.3,0,1.7
Hollow Thief's Tights +5,18.7,20.4,18.7,19.5,17.2,12.5,15.6,0,1.7
Hollow Thief's Tights +6,20.3,22.1,20.3,21.1,18.6,13.5,16.9,0,1.7
Hollow Thief's Tights +7,22.2,24.2,22.2,23.1,20.4,14.8,18.5,0,1.7
Hollow Thief's Tights +8,24.1,26.3,24.1,25.1,22.1,16.1,20.1,0,1.7
Hollow Thief's Tights +9,26,28.4,26,27.1,23.9,17.4,21.7,0,1.7
Hollow Warrior Waistcloth,13,12.6,13.4,12.3,8,6,8,5,1.4
Hollow Warrior Waistcloth +1,14.3,13.9,14.7,13.6,8.8,6.6,8.8,5,1.4
Hollow Warrior Waistcloth +10,31.5,30.5,32.4,29.9,19.4,14.5,19.4,5,1.4
Hollow Warrior Waistcloth +2,15.6,15.1,16.1,14.8,9.6,7.2,9.6,5,1.4
Hollow Warrior Waistcloth +3,16.9,16.4,17.4,16.1,10.4,7.8,10.4,5,1.4
Hollow Warrior Waistcloth +4,18.6,18,19.1,17.7,11.4,8.6,11.4,5,1.4
Hollow Warrior Waistcloth +5,20.3,19.7,20.9,19.3,12.5,9.4,12.5,5,1.4
Hollow Warrior Waistcloth +6,22,21.3,22.6,20.9,13.5,10.1,13.5,5,1.4
Hollow Warrior Waistcloth +7,24.1,23.3,24.8,22.8,14.8,11.1,14.8,5,1.4
Hollow Warrior Waistcloth +8,26.1,25.3,26.9,24.8,16.1,12.1,16.1,5,1.4
Hollow Warrior Waistcloth +9,28.2,27.4,29.1,26.8,17.4,13,17.4,5,1.4
Holy Trousers,14,16.5,14,14,15,8,12,0,2
Holy Trousers +1,15.4,18.2,15.4,15.4,16.5,8.8,13.2,0,2
Holy Trousers +10,33.9,40,33.9,33.9,36.3,19.4,29,0,2
Holy Trousers +2,16.8,19.8,16.8,16.8,18,9.6,14.4,0,2
Holy Trousers +3,18.2,21.5,18.2,18.2,19.5,10.4,15.6,0,2
Holy Trousers +4,20,23.6,20,20,21.4,11.4,17.2,0,2
Holy Trousers +5,21.8,25.8,21.8,21.8,23.4,12.5,18.7,0,2
Holy Trousers +6,23.7,27.9,23.7,23.7,25.4,13.5,20.3,0,2
Holy Trousers +7,25.9,30.6,25.9,25.9,27.7,14.8,22.2,0,2
Holy Trousers +8,28.1,33.2,28.1,28.1,30.1,16.1,24.1,0,2
Holy Trousers +9,30.4,35.8,30.4,30.4,32.6,17.4,26,0,2
Iron Leggings,21,21,21,20.6,12,12,11,9,5.3
Iron Leggings +1,23.1,23.1,23.1,22.6,13.2,13.2,12.1,9,5.3
Iron Leggings +10,50.8,50.8,50.8,49.8,29,29,26.6,9,5.3
Iron Leggings +2,25.2,25.2,25.2,24.7,14.4,14.4,13.2,9,5.3
Iron Leggings +3,27.3,27.3,27.3,26.8,15.6,15.6,14.3,9,5.3
Iron Leggings +4,30,30,30,29.4,17.2,17.2,15.7,9,5.3
Iron Leggings +5,32.8,32.8,32.8,32.1,18.7,18.7,17.2,9,5.3
Iron Leggings +6,35.5,35.5,35.5,34.8,20.3,20.3,18.6,9,5.3
Iron Leggings +7,38.9,38.9,38.9,38.1,22.2,22.2,20.4,9,5.3
Iron Leggings +8,42.2,42.2,42.2,41.4,24.1,24.1,22.1,9,5.3
Iron Leggings +9,45.6,45.6,45.6,44.7,26,26,23.9,9,5.3
Knight Leggings,22,20.9,25.5,21.6,10,11,8,12,6.4
Knight Leggings +1,24.2,23,28.1,23.7,11,12.1,8.8,12,6.4
Knight Leggings +10,53.2,50.6,61.8,52.2,24.2,26.6,19.4,12,6.4
Knight Leggings +2,26.4,25.1,30.6,25.9,12,13.2,9.6,12,6.4
Knight Leggings +3,28.6,27.2,33.2,28,13,14.3,10.4,12,6.4
Knight Leggings +4,31.5,29.9,36.5,30.8,14.3,15.7,11.4,12,6.4
Knight Leggings +5,34.3,32.6,39.8,33.6,15.6,17.2,12.5,12,6.4
Knight Leggings +6,37.2,35.3,43.1,36.4,16.9,18.6,13.5,12,6.4
Knight Leggings +7,40.7,38.7,47.2,39.9,18.5,20.4,14.8,12,6.4
Knight Leggings +8,44.2,42,51.3,43.3,20.1,22.1,16.1,12,6.4
Knight Leggings +9,47.7,45.4,55.4,46.8,21.7,23.9,17.4,12,6.4
Leather Boots,12,12.7,12,12,12,6,13,0,2.8
Leather Boots +1,13.2,14,13.2,13.2,13.2,6.6,14.6,0,2.8
Leather Boots +10,29,30.8,29,29,29,14.5,31.5,0,2.8
Leather Boots +2,14.4,15.3,14.4,14.4,14.4,7.2,15.6,0,2.8
Leather Boots +3,15.6,16.5,15.6,15.6,15.6,7.8,16.9,0,2.8
Leather Boots +4,17.2,18.2,17.2,17.2,17.2,8.6,18.6,0,2.8
Leather Boots +5,18.7,19.8,18.7,18.7,18.7,9.4,20.3,0,2.8
Leather Boots +6,20.3,21.5,20.3,20.3,20.3,10.1,22,0,2.8
Leather Boots +7,22.2,23.5,22.2,22.2,22.2,11.1,24.1,0,2.8
Leather Boots +8,24.1,25.6,24.1,24.1,24.1,12.1,26.1,0,2.8
Leather Boots +9,26,27.6,26,26,26,13,28.2,0,2.8
Leggings of Favor,28,26.6,32.5,28,14,18,11,11,6.9
Leggings of Favor +1,30.2,28.7,35.1,30.2,15.1,19.4,11.9,11,6.9
Leggings of Favor +2,33.3,31.7,38.7,33.3,16.7,21.4,13.1,11,6.9
Leggings of Favor +3,36.1,34.3,41.9,36.1,18.1,23.2,14.2,11,6.9
Leggings of Favor +4,38.9,37,45.1,43.4,19.5,25,15.3,11,6.9
Leggings of Favor +5,43.4,41.2,50.3,38.9,21.7,27.9,17,11,6.9
Leggings of Thorns,26,24.7,28.3,26,16,18,12,9,6.2
Leggings of Thorns +1,28.1,26.7,30.6,28.1,17.3,19.4,13,9,6.2
Leggings of Thorns +2,30.9,29.4,33.7,30.9,19,21.4,14.3,9,6.2
Leggings of Thorns +3,33.5,31.9,36.6,33.5,20.6,23.2,15.5,9,6.2
Leggings of Thorns +4,36.1,34.3,39.4,36.1,22.2,25,16.7,9,6.2
Leggings of Thorns +5,40.3,38.3,43.9,40.3,24.8,27.9,18.6,9,6.2
Maiden Skirt,14,16.4,14,14,27,16,21,0,2.5
Maiden Skirt +1,15.4,18,15.4,15.4,29.7,17.6,23.1,0,2.5
Maiden Skirt +10,33.9,39.6,33.9,33.9,65.3,38.7,50.8,0,2.5
Maiden Skirt +2,16.8,19.7,16.8,16.8,32.4,19.2,25.2,0,2.5
Maiden Skirt +3,18.2,21.3,18.2,18.2,35.1,20.8,27.3,0,2.5
Maiden Skirt +4,20,23.4,20,20,38.6,22.9,30,0,2.5
Maiden Skirt +5,21.8,25.6,21.8,21.8,42.1,25,32.8,0,2.5
Maiden Skirt +6,23.7,27.7,23.7,23.7,45.6,27,35.5,0,2.5
Maiden Skirt +7,25.9,30.3,25.9,25.9,50,29.6,38.9,0,2.5
Maiden Skirt +8,28.1,32.9,28.1,28.1,54.3,32.2,42.2,0,2.5
Maiden Skirt +9,30.4,35.5,30.4,30.4,58.6,34.7,45.6,0,2.5
Moonlight Waistcloth,12,12,12,12,18,10,10,0,1.8
Ornstein's Leggings,40,38,45.2,40,20,28,24,11,7
Painting Guardian Waistcloth,22,26.4,22,22,30,22,21,0,4
Painting Guardian Waistcloth +1,23.8,28.5,23.8,23.8,32.4,23.8,22.7,0,4
Painting Guardian Waistcloth +2,26.2,31.4,26.2,26.2,35.7,26.2,25,0,4
Painting Guardian Waistcloth +3,28.4,34.1,28.4,28.4,38.7,28.4,27.1,0,4
Painting Guardian Waistcloth +4,30.6,36.7,30.6,30.6,41.7,30.6,29.2,0,4
Painting Guardian Waistcloth +5,34.1,40.9,34.1,34.1,46.5,34.1,32.5,0,4
Paladin Leggings,35,35.9,40.2,35,19,21,12,12,7.6
Paladin Leggings +1,37.8,33.2,43.5,37.8,20.5,22.7,13,12,7.6
Paladin Leggings +2,41.7,39.6,47.9,41.7,22.6,25,14.3,12,7.6
Paladin Leggings +3,45.1,42.9,51.9,45.1,24.5,27.1,15.5,12,7.6
Paladin Leggings +4,48.6,46.2,55.9,48.6,26.4,29.2,16.7,12,7.6
Paladin Leggings +5,54.2,51.5,62.4,54.2,29.4,32.5,18.6,12,7.6
Shadow Leggings,13,14.3,13,13,7,9,10,0,1.4
Shadow Leggings +1,14,15.4,14,14,7.6,9.7,10.8,0,1.4
Shadow Leggings +2,15.5,17,15.5,15.5,8.3,10.7,11.9,0,1.4
Shadow Leggings +4,18.1,19.9,18.1,18.1,9.7,12.6,13.9,0,1.4
Shadow Leggings +5,20.1,22.2,20.1,20.1,10.8,13.9,15.5,0,1.4
Shadow Leggings+3,16.8,18.4,16.8,16.8,9,11.6,12.9,0,1.4
Silver Knight Leggings,28,26.3,32.2,27.4,15,16,19,11,6.5
Silver Knight Leggings +1,30.2,28.4,34.8,29.6,16.2,17.3,20.5,11,6.5
Silver Knight Leggings +2,33.3,31.3,38.3,32.7,17.9,19,22.6,11,6.5
Silver Knight Leggings +3,36.1,34,41.5,35.4,19.3,20.6,24.5,11,6.5
Silver Knight Leggings +4,38.9,36.6,44.8,38.1,20.9,22.2,26.4,11,6.5
Silver Knight Leggings +5,43.4,40.8,49.9,42.5,23.3,24.8,29.5,11,6.5
Smough's Leggings,61,53.1,70.2,61,31,40,33,21,10.4
Sorcerer Boots,12,13,12.5,12,16,8,10,0,1.4
Sorcerer Boots +1,13.2,14.3,13.7,13.2,17.6,8.8,11,0,1.4
Sorcerer Boots +10,29,31.4,30.2,29,38.7,19.4,24.2,0,1.4
Sorcerer Boots +2,14.4,15.6,15,14.4,19.2,9.6,12,0,1.4
Sorcerer Boots +3,15.6,16.8,16.2,15.6,20.8,10.4,13,0,1.4
Sorcerer Boots +4,17.2,18.5,17.8,17.2,22.9,11.4,14.3,0,1.4
Sorcerer Boots +5,18.7,20.2,19.5,18.7,25,12.5,15.6,0,1.4
Sorcerer Boots +6,20.3,21.9,21.1,20.3,27,13.5,16.9,0,1.4
Sorcerer Boots +7,22.2,24,23.1,22.2,29.6,14.8,18.5,0,1.4
Sorcerer Boots +8,24.1,26,25.1,24.1,32.2,16.1,20.1,0,1.4
Sorcerer Boots +9,26,28.1,27.1,26,34.7,17.4,21.7,0,1.4
Steel Leggings,25,23.5,28.7,25,13,12,8,14,8.3
Steel Leggings +1,27.5,25.9,31.6,27.5,14.3,13.2,8.8,14,8.3
Steel Leggings +10,60.5,56.9,69.6,60.5,31.5,29,19.4,14,8.3
Steel Leggings +2,30,28.2,34.5,30,15.6,14.4,9.6,14,8.3
Steel Leggings +3,32.5,30.5,37.4,32.5,16.9,15.6,10.4,14,8.3
Steel Leggings +4,35.7,33.6,41.1,35.7,18.6,17.2,11.4,14,8.3
Steel Leggings +5,39,36.7,44.8,39,20.3,18.7,12.5,14,8.3
Steel Leggings +6,42.2,39.7,48.6,42.2,22,20.3,13.5,14,8.3
Steel Leggings +7,46.2,43.5,63.2,46.2,24.1,22.2,14.8,14,8.3
Steel Leggings +8,50.2,47.2,57.8,50.2,26.1,24.1,16.1,14,8.3
Steel Leggings +9,54.2,51,62.4,54.2,28.2,26,17.4,14,8.3
Stone Leggings,54,50.8,62.1,54,27,33,33,23,10.4
Traveling Boots,12,13,12.5,12,16,8,10,0,1.6
Traveling Boots +1,13.2,14.3,13.7,13.2,17.6,8.8,11,0,1.6
Traveling Boots +10,29,31.4,30.2,29,38.7,19.4,24.2,0,1.6
Traveling Boots +2,14.4,15.6,15,14.4,19.2,9.6,12,0,1.6
Traveling Boots +3,15.6,16.8,16.2,15.6,20.8,10.4,13,0,1.6
Traveling Boots +4,17.2,18.5,17.8,17.2,22.9,11.4,14.3,0,1.6
Traveling Boots +5,18.7,20.2,19.5,18.7,25,12.5,15.6,0,1.6
