itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Crimson Gloves +3,9,9.9,9,9,9,5.2,6.4,0,0.8
Crimson Gloves +4,9.7,10.7,9.7,9.7,9.7,5.6,6.9,0,0.8
Crimson Gloves +5,10.8,11.9,10.8,10.8,10.8,6.2,7.8,0,0.8
Crystalline Gauntlets,17,15,20,17,12,9,4,9,6.4
Dark Gauntlets,27,27,29.7,25.4,18,18,15,9,5.8
Dark Gauntlets +1,29.2,29.2,32.1,27.4,19.4,19.4,16.2,9,5.8
Dark Gauntlets +2,32.1,32.1,35.3,30.2,21.4,21.4,17.9,9,5.8
Dark Gauntlets +3,34.8,34.8,38.3,32.7,23.2,23.2,19.3,9,5.8
Dark Gauntlets +4,37.5,37.5,41.3,35.3,25,25,20.9,9,5.8
Dark Gauntlets +5,41.8,41.8,46,39.3,27.9,27.9,23.2,9,5.8
Dingy Gloves,9,11.2,9,9,13,8,10,0,1.2
Dingy Gloves +1,9.9,12.4,9.9,9.9,14.3,8.8,11,0,1.2
Dingy Gloves +10,21.8,27.2,21.8,21.8,31.5,19.4,24.2,0,1.2
Dingy Gloves +2,10.8,13.5,10.8,10.8,15.6,9.6,12,0,1.2
Dingy Gloves +3,11.7,14.6,11.7,11.7,16.9,10.4,13,0,1.2
Dingy Gloves +4,12.9,16.1,12.9,12.9,18.6,11.4,14.3,0,1.2
Dingy Gloves +5,14,17.5,14,14,20.3,12.5,15.6,0,1.2
Dingy Gloves +6,15.2,19,15.2,15.2,22,13.5,16.9,0,1.2
Dingy Gloves +7,16.6,20.8,16.6,16.6,24.1,14.8,18.5,0,1.2
Dingy Gloves +8,18.1,22.6,18.1,18.1,26.1,16.1,20.1,0,1.2
Dingy Gloves +9,19.5,24.4,19.5,19.5,28.2,17.4,21.7,0,1.2
Eastern Gauntlets,6,5.7,7.4,5.8,1,4,2,2,1.5
Eastern Gauntlets +1,6.5,6.2,8,6.3,1.1,4.3,2.2,2,1.5
Eastern Gauntlets +2,7.1,6.8,8.9,6.9,1.2,4.8,2.4,2,1.5
Eastern Gauntlets +3,7.7,7.4,9.6,7.5,1.3,5.2,2.6,2,1.5
Eastern Gauntlets +4,8.3,7.9,10.3,8.1,1.4,5.6,2.8,2,1.5
Eastern Gauntlets +5,9.3,8.8,11.5,9,1.5,6.2,3.1,2,1.5
Elite Knight Gauntlets,18,17.5,20.9,18,7,8,5,6,3.7
Elite Knight Gauntlets +1,19.8,19.2,23,19.8,7.7,8.8,5.5,6,3.7
Elite Knight Gauntlets +10,43.6,42.3,50.5,43.6,16.9,19.4,12.1,6,3.7
Elite Knight Gauntlets +2,21.6,21,25.1,21.6,8.4,9.6,6,6,3.7
Elite Knight Gauntlets +3,23.4,22.7,27.1,23.4,9.1,10.4,6.5,6,3.7
Elite Knight Gauntlets +4,25.7,25,29.9,25.7,10,11.4,7.1,6,3.7
Elite Knight Gauntlets +5,28.1,27.2,32.6,28.1,10.9,12.5,7.8,6,3.7
Elite Knight Gauntlets +6,30.4,29.5,35.3,30.4,11.8,13.5,8.5,6,3.7
Elite Knight Gauntlets +7,33.3,32.3,38.6,33.3,12.9,14.8,9.2,6,3.7
Elite Knight Gauntlets +8,36.2,35.1,42,36.2,14.1,16.1,10.1,6,3.7
Elite Knight Gauntlets +9,39.1,37.9,45.3,39.1,15.2,17.4,10.9,6,3.7
Gauntlets of Favor,21,19.9,24.4,21,10,12,8,8,5
Gauntlets of Favor +1,22.7,21.5,26.3,22.7,10.8,13,8.6,8,5
Gauntlets of Favor +2,25,23.7,29,25,11.9,14.3,9.5,8,5
Gauntlets of Favor +3,27.1,25.7,31.4,27.1,12.9,15.5,10.3,8,5
Gauntlets of Favor +4,29.2,27.7,33.9,29.2,13.9,16.7,11.1,8,5
Gauntlets of Favor +5,32.5,30.9,37.8,32.5,15.5,18.6,12.4,8,5
Gauntlets of the Channelers,17,16.3,19.4,17,13,13,10,3,3
Gauntlets of the Vanquisher,11,10.5,12.7,11,7,7,6,4,3
Gauntlets of Thorns,26,24.7,28.3,26,16,18,12,9,6.2
Gauntlets of Thorns +1,28.1,26.7,30.6,28.1,17.3,19.4,13,9,6.2
Gauntlets of Thorns +2,30.9,29.4,33.7,30.9,19,21.4,14.3,9,6.2
Gauntlets of Thorns +3,33.5,31.9,36.6,33.5,20.6,23.2,15.5,9,6.2
Gauntlets of Thorns +4,36.1,34.3,39.4,36.1,22.2,25,16.7,9,6.2
Gauntlets of Thorns +5,40.3,38.3,43.9,40.3,24.8,27.9,18.6,9,6.2
Giant Gauntlets,41,37.7,46.3,41,19,29,19,21,9.7
Giant Gauntlets +1,44.3,40.7,50,44.3,20.5,31.3,20.5,21,9.7
Giant Gauntlets +2,48.8,44.9,55.1,48.8,22.6,34.5,22.6,21,9.7
Giant Gauntlets +3,52.9,48.7,48.8,52.9,24.5,37.4,24.5,21,9.7
Giant Gauntlets +4,57,52.4,64.4,57,29.4,40.3,26.4,21,9.7
Giant Gauntlets +5,63.5,58.5,71.8,63.5,26.4,44.9,29.4,21,9.7
Gold-Hemmed Black Gloves,12,12.8,12,12,13,24,8,0,1.2
Golem Gauntlets,54,49.7,63.2,54,25,23,10,20,9.7
Hard Leather Gauntlets,13,13.8,13,13,12,7,13,0,3.5
Hard Leather Gauntlets +1,14.3,15.2,14.3,14.3,13.2,7.7,14.3,0,3.5
Hard Leather Gauntlets +10,31.5,33.3,31.5,31.5,29,16.9,31.5,0,3.5
Hard Leather Gauntlets +2,15.6,16.5,15.6,15.6,14.4,8.4,15.6,0,3.5
Hard Leather Gauntlets +3,16.9,17.9,16.9,16.9,15.6,9.1,16.9,0,3.5
Hard Leather Gauntlets +4,18.6,19.7,18.6,18.6,17.2,10,18.6,0,3.5
Hard Leather Gauntlets +5,20.3,21.5,20.3,20.3,18.7,10.9,20.3,0,3.5
Hard Leather Gauntlets +6,22,23.3,22,22,20.3,11.8,22,0,3.5
Hard Leather Gauntlets +7,24.1,25.5,24.1,24.1,22.2,12.9,24.1,0,3.5
Hard Leather Gauntlets +8,26.1,27.7,26.1,26.1,24.1,14.1,26.1,0,3.5
Hard Leather Gauntlets +9,28.2,29.9,28.2,28.2,26,15.2,28.2,0,3.5
Havel's Gauntlets,54,45.9,62.1,54,32,32,29,28,11.5
Iron Bracelet,17,17,17,16.7,10,10,9,7,4.3
Iron Bracelet +1,18.7,18.7,18.7,18.3,11,11,9.9,7,4.3
Iron Bracelet +10,41.1,41.1,41.1,40.3,24.2,24.2,21.8,7,4.3
Iron Bracelet +2,20.4,20.4,20.4,20,12,12,10.8,7,4.3
Iron Bracelet +3,22.1,22.1,22.1,21.7,13,13,11.7,7,4.3
Iron Bracelet +4,24.3,24.3,24.3,23.8,14.3,14.3,12.9,7,4.3
Iron Bracelet +5,26.5,26.5,26.5,26,15.6,15.6,14,7,4.3
Iron Bracelet +6,28.7,28.7,28.7,28.2,16.9,16.9,15.2,7,4.3
Iron Bracelet +7,31.5,31.5,31.5,30.8,18.5,18.5,16.6,7,4.3
Iron Bracelet +8,34.2,34.2,34.2,33.5,20.1,20.1,18.1,7,4.3
Iron Bracelet +9,36.9,36.9,36.9,36.2,21.7,21.7,19.5,7,4.3
Knight Gauntlets,17,16.1,19.7,16.7,7,8,4,6,3.5
Knight Gauntlets +1,18.7,17.8,21.7,18.3,7.7,8.8,4.4,6,3.5
Knight Gauntlets +10,41.1,39.1,47.7,40.3,16.9,19.4,9.7,6,3.5
Knight Gauntlets +2,20.4,19.4,23.7,20,8.4,9.6,4.8,6,3.5
Knight Gauntlets +3,22.1,21,25.6,21.7,9.1,10.4,5.2,6,3.5
Knight Gauntlets +4,24.3,23.1,28.2,23.8,10,11.4,5.7,6,3.5
Knight Gauntlets +5,26.5,25.2,30.8,26,10.9,12.5,6.2,6,3.5
Knight Gauntlets +6,28.7,27.3,33.3,28.2,11.8,13.5,6.8,6,3.5
Knight Gauntlets +7,31.5,29.9,36.5,30.8,12.9,14.8,7.4,6,3.5
Knight Gauntlets +8,34.2,32.5,39.6,33.5,14.1,16.1,8,6,3.5
Knight Gauntlets +9,36.9,35,42.8,36.2,15.2,17.4,8.7,6,3.5
Leather Gauntlets,12,12,14.4,11.6,10,8,4,5,3.6
Leather Gauntlets +1,13.2,13.2,15.8,12.8,11,8.8,4.4,5,3.6
Leather Gauntlets +10,29,29,34.8,28.2,24.2,19.4,9.7,5,3.6
Leather Gauntlets +2,14.4,14.4,17.3,14,12,9.6,4.8,5,3.6
Leather Gauntlets +3,15.6,15.6,18.7,15.1,13,10.6,5.2,5,3.6
Leather Gauntlets +4,17.2,17.2,20.6,16.6,14.3,11.4,5.7,5,3.6
Leather Gauntlets +5,18.7,18.7,22.5,18.2,15.6,12.5,6.2,5,3.6
Leather Gauntlets +6,20.3,20.3,24.3,19.7,16.9,13.5,6.8,5,3.6
Leather Gauntlets +7,22.2,22.2,26.6,21.5,18.5,14.8,7.4,5,3.6
Leather Gauntlets +8,24.1,24.1,28.9,23.4,20.1,16.1,8,5,3.6
Leather Gauntlets +9,26,26,31.2,25.3,21.7,17.4,8.7,5,3.6
Leather Gloves,12,12.7,12,12,12,6,13,0,2.8
Leather Gloves +1,13.2,14,13.2,13.2,13.2,6.6,14.6,0,2.8
Leather Gloves +10,29,30.8,29,29,29,14.5,31.5,0,2.8
Leather Gloves +2,14.4,15.3,14.4,14.4,14.4,7.2,15.6,0,2.8
Leather Gloves +3,15.6,16.5,15.6,15.6,15.6,7.8,16.9,0,2.8
Leather Gloves +4,17.2,18.2,17.2,17.2,17.2,8.6,18.6,0,2.8
Leather Gloves +5,18.7,19.8,18.7,18.7,18.7,9.4,20.3,0,2.8
Leather Gloves +6,20.3,21.5,20.3,20.3,20.3,10.1,22,0,2.8
Leather Gloves +7,22.2,23.5,22.2,22.2,22.2,11.1,24.1,0,2.8
Leather Gloves +8,24.1,25.6,24.1,24.1,24.1,12.1,26.1,0,2.8
Leather Gloves +9,26,27.6,26,26,26,13,28.2,0,2.8
Maiden Gloves,11,12.9,11,11,13,8,10,0,1.2
Maiden Gloves +1,12.1,14.2,12.1,12.1,14.3,8.8,11,0,1.2
Maiden Gloves +10,26.6,31.1,26.6,26.6,31.5,19.4,24.2,0,1.2
Maiden Gloves +2,13.2,15.4,13.2,13.2,15.6,9.6,12,0,1.2
Maiden Gloves +3,14.3,16.7,14.3,14.3,16.9,10.4,13,0,1.2
Maiden Gloves +4,15.7,18.4,15.7,15.7,18.6,11.4,14.3,0,1.2
Maiden Gloves +5,17.2,20.1,17.2,17.2,20.3,12.5,15.6,0,1.2
Maiden Gloves +6,18.6,21.8,18.6,18.6,22,13.5,16.9,0,1.2
Maiden Gloves +7,20.4,23.8,20.4,20.4,24.1,14.8,18.5,0,1.2
Maiden Gloves +8,22.1,25.9,22.1,22.1,26.1,16.1,20.1,0,1.2
Maiden Gloves +9,23.9,27.9,23.9,23.9,28.2,17.4,21.7,0,1.2
Moonlight Gloves,3,3,3,3,5,3,3,0,0.5
Ornstein's Gauntlets,29,27.6,32.8,29,12,16,14,6,4
Painting Guardian Gloves,6,7.2,6,6,22,17,12,0,0.9
Painting Guardian Gloves +1,6.5,7.8,6.5,6.5,23.8,18.4,13,0,0.9
Painting Guardian Gloves +2,7.1,8.6,7.1,7.1,26.2,20.2,14.3,0,0.9
Painting Guardian Gloves +3,7.7,9.3,7.7,7.7,28.4,21.9,15.5,0,0.9
Painting Guardian Gloves +4,8.3,10,8.3,8.3,30.6,23.6,16.7,0,0.9
Painting Guardian Gloves +5,9.3,11.2,9.3,9.3,34.1,26.3,18.6,0,0.9
Paladin Gauntlets,35,35.9,40.2,35,19,21,12,12,7.6
Paladin Gauntlets +1,37.8,33.2,43.5,37.8,20.5,22.7,13,12,7.6
Paladin Gauntlets +2,41.7,39.6,47.9,41.7,22.6,25,14.3,12,7.6
Paladin Gauntlets +3,45.1,42.9,51.9,45.1,24.5,27.1,15.5,12,7.6
Paladin Gauntlets +4,48.6,46.2,55.9,48.6,26.4,29.2,16.7,12,7.6
Paladin Gauntlets +5,54.2,51.5,62.4,54.2,29.4,32.5,18.6,12,7.6
Shadow Gauntlets,13,14.3,13,13,7,9,10,0,1.4
Shadow Gauntlets +1,14,15.4,14,14,7.6,9.7,10.8,0,1.4
Shadow Gauntlets +2,15.5,17,15.5,15.5,8.3,10.7,11.9,0,1.4
Shadow Gauntlets +3,16.8,18.4,16.8,16.8,9,11.6,12.9,0,1.4
Shadow Gauntlets +4,18.1,19.9,18.1,18.1,9.7,12.6,13.9,0,1.4
Shadow Gauntlets +5,20.1,22.2,20.1,20.1,10.8,13.9,15.5,0,1.4
Silver Knight Gauntlets,25,23.5,28.7,24.5,12,14,16,9,5.5
Silver Knight Gauntlets +1,27,25.4,31.1,26.5,13,15.1,17.3,9,5.5
Silver Knight Gauntlets +2,29.8,28,34.2,29.2,14.3,16.7,19,9,5.5
Silver Knight Gauntlets +3,32.2,30.3,37.1,31.6,15.5,18.1,20.6,9,5.5
Silver Knight Gauntlets +4,34.7,32.7,40,34.1,16.7,19.5,22.2,9,5.5
Silver Knight Gauntlets +5,38.8,36.4,44.6,38,18.6,21.7,24.8,9,5.5
Smough's Gauntlets,61,53.1,70.2,61,31,40,33,21,10.4
Sorcerer Gauntlets,12,13,12.5,12,16,8,10,0,1.4
Sorcerer Gauntlets +1,13.2,14.3,13.7,13.2,17.6,8.8,11,0,1.4
Sorcerer Gauntlets +10,29,31.4,30.2,29,38.7,19.4,24.2,0,1.4
Sorcerer Gauntlets +2,14.4,15.6,15,14.4,19.2,9.6,12,0,1.4
Sorcerer Gauntlets +3,15.6,16.8,16.2,15.6,20.8,10.4,13,0,1.4
Sorcerer Gauntlets +4,17.2,18.5,17.8,17.2,22.9,11.4,14.3,0,1.4
Sorcerer Gauntlets +5,18.7,20.2,19.5,18.7,25,12.5,15.6,0,1.4
Sorcerer Gauntlets +6,20.3,21.9,21.1,20.3,27,13.5,16.9,0,1.4
Sorcerer Gauntlets +7,22.2,24,23.1,22.2,29.6,14.8,18.5,0,1.4
Sorcerer Gauntlets +8,24.1,26,25.1,24.1,32.2,16.1,20.1,0,1.4
Sorcerer Gauntlets +9,26,28.1,27.1,26,34.7,17.4,21.7,0,1.4
Steel Gauntlets,25,23.5,28.7,25,13,12,8,14,8.3
Steel Gauntlets +1,27.5,25.9,31.6,27.5,14.3,13.2,8.8,14,8.3
Steel Gauntlets +10,60.5,56.9,69.6,60.5,31.5,29,19.4,14,8.3
Steel Gauntlets +2,30,28.2,34.5,30,15.6,14.4,9.6,14,8.3
Steel Gauntlets +3,32.5,30.5,37.4,32.5,16.9,15.6,10.4,14,8.3
Steel Gauntlets +4,35.7,33.6,41.1,35.7,18.6,17.2,11.4,14,8.3
Steel Gauntlets +5,39,36.7,44.8,39,20.3,18.7,12.5,14,8.3
Steel Gauntlets +6,42.2,39.7,48.6,42.2,22,20.3,13.5,14,8.3
Steel Gauntlets +7,46.2,43.5,63.2,46.2,24.1,22.2,14.8,14,8.3
Steel Gauntlets +8,50.2,47.2,57.8,50.2,26.1,24.1,16.1,14,8.3
Steel Gauntlets +9,54.2,51,62.4,54.2,28.2,26,17.4,14,8.3
Stone Gauntlets,54,50.8,62.1,54,27,33,33,23,10.4
Tattered Cloth Manchette,12,13.3,12,12,14,18,10,0,1.6
Tattered Cloth Manchette +1,13.2,14.7,13.2,13.2,15.4,19.8,11,0,1.6
Tattered Cloth Manchette +10,29,32.2,29,29,33.9,43.6,24.2,0,1.6
Tattered Cloth Manchette +2,14.4,16,14.4,14.4,16.8,21.6,12,0,1.6
Tattered Cloth Manchette +3,15.6,17.3,15.6,15.6,18.2,23.4,13,0,1.6
Tattered Cloth Manchette +4,17.2,19,17.2,17.2,20,25.7,14.3,0,1.6
Tattered Cloth Manchette +5,18.7,20.8,18.7,18.7,21.8,28.1,15.6,0,1.6
Tattered Cloth Manchette +6,20.3,22.5,20.3,20.3,23.7,30.4,16.9,0,1.6
Tattered Cloth Manchette +7,22.2,24.6,22.2,22.2,25.9,33.3,18.5,0,1.6
Tattered Cloth Manchette +8,24.1,26.8,24.1,24.1,28.1,36.2,20.1,0,1.6
Tattered Cloth Manchette +9,26,28.9,26,26,30.4,39.1,21.7,0,1.6
Traveling Gloves,5,5.9,5,5,5,3,4,0,0.7
Traveling Gloves,12,13,12.5,12,16,8,10,0,1.6
Traveling Gloves +1,5.5,6.5,5.5,5.5,5.5,3.3,4.4,0,0.7
Traveling Gloves +1,13.2,14.3,13.7,13.2,17.6,8.8,11,0,1.6
Traveling Gloves +10,12.1,14.3,12.1,12.1,12.1,7.3,9.7,0,0.7
Traveling Gloves +10,29,31.4,30.2,29,38.7,19.4,24.2,0,1.6
Traveling Gloves +2,6,7.1,6,6,6,3.6,4.8,0,0.7
Traveling Gloves +2,14.4,15.6,15,14.4,19.2,9.6,12,0,1.6
Traveling Gloves +3,6.5,7.7,6.5,6.5,6.5,3.9,5.2,0,0.7
Traveling Gloves +3,15.6,16.8,16.2,15.6,20.8,10.4,13,0,1.6
Traveling Gloves +4,7.1,8.4,7.1,7.1,7.1,4.3,5.7,0,0.7
Traveling Gloves +4,17.2,18.5,17.8,17.2,22.9,11.4,14.3,0,1.6
Traveling Gloves +5,7.8,9.2,7.8,7.8,7.8,4.7,6.2,0,0.7
Traveling Gloves +5,18.7,20.2,19.5,18.7,25,12.5,15.6,0,1.6
Traveling Gloves +6,8.5,10,8.5,8.5,8.5,5.1,6.8,0,0.7
Traveling Gloves +6,20.3,21.9,21.1,20.3,27,13.5,16.9,0,1.6
Traveling Gloves +7,9.2,10.9,9.2,9.2,9.2,5.6,7.4,0,0.7
Traveling Gloves +7,22.2,24,23.1,22.2,29.6,14.8,18.5,0,1.6
Traveling Gloves +8,10.1,11.9,10.1,10.1,10.1,6,8,0,0.7
Traveling Gloves +8,24.1,26,25.1,24.1,32.2,16.1,20.1,0,1.6
Traveling Gloves +9,10.9,12.8,10.9,10.9,10.9,6.5,8.7,0,0.7
Traveling Gloves +9,26,28.1,27.1,26,34.7,17.4,21.7,0,1.6
Wanderer Manchette,14,15,15,14,12,15,13,0,2.1
Wanderer Manchette +1,15.4,16.5,16.5,15.4,13.2,16.5,14.3,0,2.1
Wanderer Manchette +10,33.9,36.3,36.3,33.9,29,36.6,32.5,0,2.1
Wanderer Manchette +2,16.8,18,18,16.8,14.4,18,15.6,0,2.1
Wanderer Manchette +3,18.2,19.5,19.5,18.2,15.6,19.5,16.9,0,2.1
Wanderer Manchette +4,20,21.4,21.4,20,17.2,21.4,18.6,0,2.1
Wanderer Manchette +5,21.8,23.4,23.4,21.8,18.7,23.4,20.3,0,2.1
Wanderer Manchette +6,23.7,25.3,25.3,23.7,20.3,25.4,22,0,2.1
Wanderer Manchette +7,25.9,27.7,27.7,25.9,22.2,27.7,24.1,0,2.1
Wanderer Manchette +8,28.1,30.1,30.1,28.1,24.1,30.1,26.1,0,2.1
Wanderer Manchette +9,30.4,32.5,32.5,30.4,26,32.6,28.2,0,2.1
Witch Gloves,14,15.5,14,14,18,9,11,0,1.7
Witch Gloves +1,15.1,16.8,15.1,15.1,19.4,9.7,11.9,0,1.7
Witch Gloves +2,16.7,18.5,16.7,16.7,21.4,10.7,13.1,0,1.7
Witch Gloves +3,18.1,20,18.1,18.1,23.2,11.6,14.2,0,1.7
Witch Gloves +4,19.5,21.6,19.5,19.5,25,12.5,15.3,0,1.7
