itemName,PdefBonus,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,MdefDark,SdefPois,SdefBled,SdefPetr,SdefCrse,Special,Poise,Weight,Durability
Dragonrider Leggings,C,113,105,118,113,10,10,10,10,10,13,0,0,None,14,7.4,95
Drakekeeper Leggings,C,94,91,99,94,15,16,13,15,15,20,0,19,None,14,8.4,90
Drangleic Leggings,C,102,97,110,104,17,17,15,17,17,22,0,0,None,12,7.6,90
Elite Knight Leggings,C,61,59,67,61,17,19,13,17,14,20,0,0,None,9,6.9,85
Elite Knight Leggings +3,C,79,77,87,79,22,24,16,22,18,26,0,0,None,9,6.9,85
Executioner Leggings,D,38,34,40,39,9,9,6,20,7,26,0,18,None,4,2.7,65
Falconer Boots,D,55,59,54,54,17,14,19,17,18,15,0,0,None,8,5.8,75
Faraam Leggings,C,78,74,83,79,18,19,12,18,30,41,0,0,None,11,7.9,85
Faraam Leggings +3,C,101,95,107,103,23,24,15,23,19,26,0,0,None,11,7.9,85
Flying Feline Boots,E,40,49,35,36,15,9,25,16,17,19,0,50,Reduces Fall Damage,0,2,66
Grave Warden Leggings,E,50,54,48,48,22,21,27,28,27,22,0,0,None,0,3.8,60
Gyrm Boots,C,59,59,61,56,8,8,7,8,17,13,9,9,None,14,5.6,70
Gyrm Warrior Boots,C,97,101,101,89,12,14,14,12,9,23,0,0,None,22,8.8,75
Hard Leather Leggings,D,40,42,39,39,13,8,16,13,14,13,0,0,None,0,3.8,65
Havel's Leggings,C,168,145,191,168,23,25,20,23,7,40,17,17,Req Str 20,31,11.5,255
Heide Knight Leggings,C,63,59,68,63,11,14,9,19,21,16,0,17,None,10,6.4,90
Heide Knight Leggings +3,C,81,77,88,81,14,18,12,24,26,20,0,21,None,10,6.4,90
Heide Knight Leggings +6,C,100,95,108,100,17,22,15,30,33,25,0,26,None,10,6.4,90
Hexer Leggings,E,52,55,49,49,38,56,38,38,23,20,30,27,None,0,2,55
Hexer Leggings +1,E,57,60,54,54,41,61,41,41,25,22,33,29,None,0,2,55
Hexer Leggings +2,E,62,66,59,59,45,67,45,45,27,24,36,32,None,0,2,55
Hexer Leggings +3,E,67,71,64,64,49,73,49,49,30,26,39,35,None,0,2,55
Hexer Leggings +4,E,72,77,69,69,53,79,53,53,32,28,42,38,None,0,2,55
Hexer Leggings +5,E,78,83,74,74,57,85,57,57,35,30,45,41,None,0,2,55
Hollow Infantry Boots,D,35,36,34,34,8,6,9,8,7,7,0,0,None,0,4.5,40
Hollow Soldier Leggings,C,14,14,15,15,5,5,3,5,4,4,0,0,None,0,1.8,35
Imperious Leggings,C,79,75,83,79,14,11,9,14,11,15,11,11,None,17,7.5,85
Imperious Leggings +3,C,102,97,107,102,18,14,11,18,14,19,14,14,None,17,7.5,85
Imported Trousers,D,26,29,25,25,8,7,8,9,9,10,0,0,None,0,3.6,35
Infantry Leggings,D,43,45,42,42,11,10,14,11,11,11,0,0,None,0,4.5,55
Insolent Boots,C,50,48,54,50,13,13,16,12,12,15,13,13,None,9,5.8,75
Ironclad Leggings,C,96,89,102,96,15,16,11,15,8,26,0,0,None,20,9.4,90
Jester's Boots,D,31,33,30,30,17,17,17,17,19,14,18,12,Reduces Fall Damage,0,2.7,45
Judgement Leggings,E,55,59,53,53,28,23,20,25,30,16,0,31,None,0,2.8,50
King's Leggings,C,85,81,90,85,28,28,22,20,32,29,0,0,None,10,7.1,120
Knight's Leggings,C,54,52,61,54,16,17,12,16,14,20,0,0,None,12,6.4,80
Leather Leggings,D,39,41,37,37,14,9,19,15,16,13,0,0,None,0,2.8,60
Lion Mage Skirt,E,25,26,23,23,24,19,20,24,11,11,13,29,casting speed +11%,0,1.4,40
Lion Warrior Boots,E,23,23,22,22,10,9,9,17,6,6,17,32,casting speed+,0,1.2,40
Llewellyn Leggings,D,55,51,57,55,17,21,13,17,18,25,10,10,None,0,3.1,85
Looking Glass Leggings,C,149,132,168,149,20,23,34,20,19,37,0,0,None,24,10.4,150
Lucatiel's Leggings,D,55,49,49,28,25,30,28,0,17,9,18,0,None,22,14,51
Lucatiel's Leggings +3,D,66,71,63,63,36,32,39,36,28,22,11,23,None,0,4.0,65
Mad Warrior Leggings,C,101,101,106,97,17,16,12,17,21,21,19,19,None,12,7.4,75
Manikin Leggings,E,32,34,31,31,16,15,19,20,19,26,6,0,None,0,1.6,65
Manikin Leggings +6,E,51,54,49,49,25,24,30,32,30,41,13,0,None,0,1.6,65
Mastodon Leggings,C,98,92,105,98,13,14,9,13,16,18,0,0,Req Str 16,24,10.8,90
Monastery Skirt,E,47,50,44,44,42,31,27,30,52,33,29,35,None,0,4,55
Moon Butterfly Skirt,U,41,45,39,39,21,14,22,18,39,17,22,24,None,0,1.2,35
Old Ironclad Leggings,C,84,78,90,84,12,13,10,12,7,21,0,0,Req Str 14,18,9.4,45
Old Knight Leggings,C,91,85,94,91,10,10,8,10,8,17,0,0,None,16,8.2,20
Old Knight Leggings +3,C,111,104,116,111,10,10,6,10,7,19,0,0,None,22,8.2,20
Pate's Leggings,D,38,40,38,38,13,8,16,13,14,12,0,0,None,0,3.5,70
Peasant Leggings,E,17,19,16,16,8,9,11,8,12,10,0,0,None,0,2.6,45
Penal Skirt,D,68,70,70,63,28,35,26,32,11,9,22,29,None,0,4.8,55
Priestess Kilt,E,36,37,35,0,22,22,31,25,15,14,18,18,None,0,1.9,50
Prisoner's Waistcloth,U,5,6,5,5,5,5,7,6,6,4,0,0,None,0,1,25
Royal Soldier Leggings,C,45,43,47,46,14,14,10,14,12,14,0,0,None,8,5.3,70
Royal Swordsman Leggings,C,55,48,61,57,12,16,9,12,7,16,0,0,None,10,6.1,75
Ruin Leggings,C,82,75,88,84,19,22,13,19,12,26,34,0,None,12,6.2,105
Rusted Mastodon Leggings,C,96,90,103,96,13,14,8,13,16,18,0,0,None,17,9.8,40
Saint's Leggings,E,52,55,49,49,38,38,47,38,23,20,44,41,None,0,2,55
Shadow Leggings,U,30,34,27,27,16,18,17,21,24,18,15,0,None,0,1.6,60
Smelter Demon Leggings,C,149,135,164,149,21,39,20,21,14,32,21,21,None,23,10.4,160
Steel Leggings,C,92,87,98,92,12,13,8,12,10,19,0,0,None,19,8.3,100
Syan's Leggings,C,70,63,75,72,14,18,8,14,8,23,0,0,None,12,7.1,85
Targray's Leggings,C,53,49,57,53,13,13,11,15,16,17,0,0,None,10,5.8,75
Throne Defender Leggings,C,105,101,109,106,21,24,12,21,15,24,0,0,None,13,7.7,100
Throne Watcher Leggings,C,82,78,88,82,36,23,19,23,18,22,0,0,None,12,6.6,95
Traveleing Merchant Leggings,U,37,39,35,35,10,11,12,10,13,14,0,0,None,0,3.8,60
Tseldora Leggings,E,15,16,14,14,7,7,9,6,7,7,0,0,Increase Souls +5%,0,2,40
Varangian Leggings,D,26,27,25,25,8,6,10,8,10,9,0,0,None,0,2.4,55
Velstadt's Leggings,C,114,103,119,117,15,15,8,34,10,29,15,21,None,16,7.2,140
Vengarl's Leggings,U,115,108,122,115,18,22,16,18,17,21,0,0,None,14,7.9,85
Wanderer Boots,E,35,33,35,35,12,15,17,12,13,21,0,0,None,0,2.1,50
White Priest Skirt,E,40,42,39,39,24,24,31,27,16,16,15,15,None,0,2.4,50
Xanthous Kilt,E,54,61,54,46,40,11,25,31,24,21,0,0,None,0,4,60
